RegionName,1996-04,1996-05,1996-06,1996-07,1996-08,1996-09,1996-10,1996-11,1996-12,1997-01,1997-02,1997-03,1997-04,1997-05,1997-06,1997-07,1997-08,1997-09,1997-10,1997-11,1997-12,1998-01,1998-02,1998-03,1998-04,1998-05,1998-06,1998-07,1998-08,1998-09,1998-10,1998-11,1998-12,1999-01,1999-02,1999-03,1999-04,1999-05,1999-06,1999-07,1999-08,1999-09,1999-10,1999-11,1999-12,2000-01,2000-02,2000-03,2000-04,2000-05,2000-06,2000-07,2000-08,2000-09,2000-10,2000-11,2000-12,2001-01,2001-02,2001-03,2001-04,2001-05,2001-06,2001-07,2001-08,2001-09,2001-10,2001-11,2001-12,2002-01,2002-02,2002-03,2002-04,2002-05,2002-06,2002-07,2002-08,2002-09,2002-10,2002-11,2002-12,2003-01,2003-02,2003-03,2003-04,2003-05,2003-06,2003-07,2003-08,2003-09,2003-10,2003-11,2003-12,2004-01,2004-02,2004-03,2004-04,2004-05,2004-06,2004-07,2004-08,2004-09,2004-10,2004-11,2004-12,2005-01,2005-02,2005-03,2005-04,2005-05,2005-06,2005-07,2005-08,2005-09,2005-10,2005-11,2005-12,2006-01,2006-02,2006-03,2006-04,2006-05,2006-06,2006-07,2006-08,2006-09,2006-10,2006-11,2006-12,2007-01,2007-02,2007-03,2007-04,2007-05,2007-06,2007-07,2007-08,2007-09,2007-10,2007-11,2007-12,2008-01,2008-02,2008-03,2008-04,2008-05,2008-06,2008-07,2008-08,2008-09,2008-10,2008-11,2008-12,2009-01,2009-02,2009-03,2009-04,2009-05,2009-06,2009-07,2009-08,2009-09,2009-10,2009-11,2009-12,2010-01,2010-02,2010-03,2010-04,2010-05,2010-06,2010-07,2010-08,2010-09,2010-10,2010-11,2010-12,2011-01,2011-02,2011-03,2011-04,2011-05,2011-06,2011-07,2011-08,2011-09,2011-10,2011-11,2011-12,2012-01,2012-02,2012-03,2012-04,2012-05,2012-06,2012-07,2012-08,2012-09,2012-10,2012-11,2012-12,2013-01,2013-02,2013-03,2013-04,2013-05,2013-06,2013-07,2013-08,2013-09,2013-10,2013-11,2013-12,2014-01,2014-02,2014-03,2014-04,2014-05,2014-06,2014-07,2014-08,2014-09,2014-10,2014-11,2014-12,2015-01,2015-02,2015-03,2015-04,2015-05,2015-06,2015-07,2015-08,2015-09,2015-10,2015-11,2015-12,2016-01,2016-02,2016-03,2016-04,2016-05,2016-06,2016-07,2016-08,2016-09,2016-10,2016-11
Peoria,,,,,,,,,,,65600,67300,68800,70100,71400,72300,73300,73900,74100,74100,74200,74000,73800,73600,73100,72500,71900,71700,71600,71800,72400,72900,73400,74400,75700,76900,77300,77500,78200,79300,79900,79900,79400,78800,78700,78800,79000,79400,79700,79900,79900,79700,79400,79300,79600,80300,80400,80200,80500,81400,82100,82500,82500,82200,82000,82000,82400,82700,82700,82500,82200,82100,82400,83200,84100,85000,85700,85900,85800,85700,86100,86700,87300,87100,86500,85900,85900,85800,85800,86100,86900,87400,87700,87800,87900,88100,88700,89300,89900,90500,91000,91500,92100,92400,92400,93000,93300,93500,93700,93800,93600,93900,94500,94900,94700,95000,95700,96200,96800,97600,98300,98700,98700,98400,98400,98700,98800,99000,99200,99600,100100,100700,101100,101200,101600,102200,102800,103200,103700,104100,103600,102400,101500,101200,101200,101800,102500,103100,103600,104100,104600,105000,104500,103500,102800,102600,102500,102500,102600,102200,101800,101500,101400,101100,103000,106200,107900,107700,107700,107300,106600,106500,106900,107000,106700,106500,106300,105800,105100,104300,103400,102800,102300,102100,101800,101500,101100,101100,100900,100800,101300,102100,102600,102900,103100,102800,102400,102400,102700,102700,102400,102100,101700,101100,100500,100500,100900,101300,101300,101100,100900,101100,100900,100700,101200,102200,102600,102300,101500,100600,100100,100000,99800,99400,99000,98300,97800,97800,98300,99000,100000,101000,101900,102600,102900,102600,102200,102500,103200,103800,104400,104900,105200,105000,104600,104300,104200,104100
Rock Island,59600,59500,59700,59900,60100,60200,60200,60300,60500,60700,60700,60900,61200,61700,61900,62100,62300,62600,62700,62600,62600,62600,62700,62900,63000,63100,63500,63800,64100,64800,65800,66600,67700,68700,69200,69300,69400,69300,69000,68700,68600,68500,68500,68500,68600,68900,69400,70000,70500,70800,71000,71500,71900,72300,72600,72900,72600,72200,71900,72000,72600,73300,73700,74000,74200,74300,74500,75000,75300,75300,75600,76200,76500,76700,77000,77100,77100,77100,77200,77300,77500,77800,78200,78400,78600,79100,79700,80100,80600,81200,81700,82000,82300,82700,82900,82900,83000,83000,83100,83400,83700,83800,84000,84300,84900,85500,85700,86000,86200,86400,86200,86300,86600,86700,86700,87000,87000,87000,87200,87300,87300,87400,87700,88100,88400,88700,88800,88900,89100,89500,90100,90700,91100,91400,91600,91800,91700,91500,91500,91500,91300,91000,90700,90300,90400,90600,90500,90200,90400,90500,90500,90500,90500,90500,90500,90600,90700,91100,91500,91800,92100,92900,93600,93900,94600,96000,96800,96800,97200,97500,97900,98100,98000,97900,98100,98300,98500,98500,98200,98100,97600,97000,96700,96200,95500,95200,94900,94500,94000,93200,92900,93000,93200,93000,92900,93100,93400,93200,93200,93700,94100,94100,94300,94800,95100,95200,95200,95600,96400,97200,97400,97400,97300,97400,97400,97300,97400,97600,97600,97600,97700,97600,97500,97600,97800,98000,98200,97800,97400,97400,97600,97900,98000,97800,97700,97800,98000,98200,98300,98600,99300,100000,100600,101100,101500,102000,102500,103000
Tazewell,55000,56800,58300,59400,60900,63000,64700,66500,68500,70800,73100,75400,77600,79400,80700,81900,82600,83000,83400,83600,83100,82300,81800,81300,80900,80500,80100,80000,80300,80700,81300,82100,82900,83600,84500,85400,86300,87000,87600,88100,88300,88300,88300,88200,87900,87800,87900,88000,87600,87200,87200,87600,87800,87600,87400,87500,88000,88500,89000,89100,89300,90100,91000,91800,92300,92600,92900,93400,93700,94000,94300,94600,94800,95000,95200,95200,95400,95900,96400,96700,97100,97600,98000,98300,98700,99000,99200,99400,99700,99800,99900,99900,99800,100000,100300,100800,101000,101200,101600,102100,102600,103300,103900,104500,105300,106000,106200,106600,107400,108200,108800,109200,109600,110200,111000,111600,111800,112100,112500,112800,113000,113000,113200,113700,114400,114600,114600,114900,115400,115800,116300,116900,117500,118200,118800,118900,119100,119200,119300,119200,119400,119500,119400,119300,119100,118800,118600,118300,117900,117700,117900,118000,117700,117200,116800,116500,116200,115900,115500,115600,115700,115700,115600,115300,115600,116200,116400,116200,116200,116100,116000,115800,115900,115900,115900,115700,115400,115000,115100,115400,115500,115500,115800,115900,115700,115800,115900,116100,116100,116100,116000,115800,115600,115800,116100,116200,116200,115900,115700,116200,116700,116900,117200,117700,118200,118500,118400,118100,118000,118000,118200,118200,118200,118300,118400,118400,118500,118700,119000,119400,119900,120600,121000,121100,120700,120300,120100,120100,120000,119800,119900,120100,120300,120400,120300,120000,120100,120500,121200,121700,121800,121800,122000,122000,121700,121600,121600,121600
Kendall,144800,142700,141800,141800,142300,142700,143200,143800,144400,145000,145700,146600,147800,149200,150500,151200,151400,151500,151500,152000,152800,153100,153100,153800,154800,155100,154800,154600,154800,155300,155800,156000,155900,156000,156600,157300,158200,159300,160100,160700,161300,161900,162200,162400,162900,163500,164000,165000,166000,166600,167100,167900,168500,168700,168900,169600,170300,170900,171400,171800,172500,173800,175400,176600,177500,178600,180200,181800,183300,184800,186000,186900,187400,187700,188000,188500,189200,189900,191200,192700,194000,194900,195800,196800,198000,199400,200800,202100,203200,204300,205300,206000,206900,208200,209300,210400,211400,212500,213600,215000,216700,218900,221000,222100,222700,223900,225600,227400,229000,230600,232500,234900,237200,238700,239900,241200,242500,243400,243900,244200,245100,246700,247600,247700,248100,248700,249100,249800,250300,250300,250300,250700,250600,250100,249300,248300,247100,245800,244700,243500,241900,240000,238100,237100,236700,236200,234900,232800,230300,227900,225900,224500,223400,221700,220200,219300,218000,216500,214800,212800,210700,209000,207700,206300,206700,208200,208500,206100,204100,202600,201200,200400,200700,200000,198100,196000,193800,192400,191700,191100,189000,186000,184300,184100,183500,182300,181300,180700,179900,178800,177800,176900,176100,176000,176500,177400,178600,179500,179800,180300,180700,180000,179200,179800,181400,183300,184800,185300,185600,186900,188800,190700,191800,192100,192500,193500,194800,196200,196900,196900,197200,198200,198500,198000,198100,199600,201500,202800,203400,203600,204000,204300,204300,204600,205600,206400,207100,207700,208400,209300,210400,211500,212500,213200,213700,214500,215900,217500
La Salle,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,118300,114400,111400,108500,105800,104200,103400,102700,102500,102000,101100,100400,100100,99000,98400,98900,100100,100800,100800,100700,100100,97900,96200,96600,97400,97400,97200,96800,96600,96600,96600,95900,95700,96100,96100,95800,96300,96500,96100,96100,96500,96500,96100,96000,95600,95000,94300,94000,93900,94100,94200,94100,94300,94900,95400,95800,96400,96100,95800,96100,96800,96900,96900,96600,96200,95600,95000,95200,95300,95000,94600,95000,96200,97900,99900,100800,100200,99300,99000,99000,99200
Kankakee,88000,86900,86700,86400,85700,85200,84700,84100,83800,83600,83100,82900,82900,82800,82800,83600,84700,85100,85300,85700,86300,86800,87300,87900,88800,89300,89500,89400,89600,89800,90200,90800,91200,91200,90800,90900,91300,91200,90700,90400,90200,90200,90300,90100,89800,90400,91100,90800,90200,90700,91800,92400,92100,91600,92000,92400,92700,92600,92800,93300,94400,95500,96100,96600,97400,98200,98800,99100,99700,100200,100600,101000,101000,100500,100000,100200,100800,101800,102800,103500,103700,103900,104200,104400,104800,105600,106400,106600,106800,107100,107500,108200,108900,109400,110400,112300,114000,114900,115300,115200,115300,115600,115800,116600,117900,119100,119600,119900,120300,120900,121800,123200,124300,125100,125000,124300,123900,124400,124800,125300,126600,128100,129200,130200,131300,132100,132900,133400,133600,133400,133100,132800,132300,131900,131800,132100,132000,131600,131800,132500,132500,132100,131800,130800,129000,127600,126700,125900,125600,125500,125500,125600,126500,128200,129800,130600,130900,130600,130200,129700,129400,129300,129700,129900,129300,128100,126900,126300,125600,124200,122400,120800,119800,119200,118700,117900,117100,116600,116300,116000,116100,117200,118300,119000,120200,122400,124300,126000,127600,129100,130200,131500,133300,136500,140900,144900,145200,141600,137200,133400,129400,125800,123300,120900,118500,115800,112900,110400,108900,108600,108600,108500,108900,109400,109900,111000,112900,114700,115600,116300,116800,117200,117200,117700,118900,120100,120100,119600,118300,116100,114400,113900,113900,114400,115600,116300,116300,116100,116600,117700,118800,119700,120200,120100,120300,120700,120900,121100
DeKalb,170000,171300,171200,170300,168900,167000,164400,161400,157500,153600,149500,145700,142100,138400,133900,129200,124700,120400,116400,112800,109400,106500,104300,103000,102600,102900,103400,104600,106500,109200,112500,116300,120600,125500,132000,134100,128900,123900,124200,125900,127300,128500,129600,130100,130400,130500,130100,129600,129900,130200,129700,128900,128300,128200,127900,127400,127300,127900,128400,128900,130300,131900,132900,133800,134400,135000,135600,136100,136300,136600,136900,137700,139000,140100,140400,140500,140500,140100,139700,139900,140900,141700,142100,142900,144600,146900,148500,149400,150800,152700,154600,156400,157900,159000,160200,161500,162800,163800,165000,166500,168100,169200,170000,170800,171600,172300,172800,172900,173000,173300,174000,175500,177000,178300,179500,180400,180800,181200,181800,182100,182500,183100,183800,185200,187100,188700,189600,189300,188400,188000,188200,189000,189600,189500,188600,188200,187900,187400,186800,186400,185500,183900,182200,181900,181900,181400,181500,180500,176900,173400,171600,171600,172600,173400,173600,173200,172000,171500,170300,167000,163300,161000,159500,158500,158400,158400,158600,158700,158400,156300,153200,151600,151600,151600,151200,150400,149200,147700,146000,144500,142700,141100,140300,139900,139100,138400,137700,137600,137900,138000,137400,136500,135400,134600,134100,134000,134500,134900,134800,134400,133600,132800,131900,130900,132500,136800,140400,141300,141800,142500,143800,141600,138300,137900,140100,140700,140600,140200,140000,141200,142900,143800,143800,144500,145400,145900,145800,146200,146100,145700,145900,147000,148100,148800,149100,149400,149800,149600,149300,149100,149100,149200,149700,150400,151200,151500,151700,152100
Whiteside,115900,117500,116600,109400,97200,89300,87900,87000,84500,84400,87800,89800,88100,87100,87700,88700,89800,92400,94200,95000,94600,96000,98800,98500,95100,93100,93100,94200,96200,97500,96300,94400,95100,97700,98000,98300,100300,103600,105800,107400,107600,107300,105900,107000,106400,104300,104500,106300,107500,107300,107000,108200,110500,111200,114000,116400,117200,118800,120500,120800,121100,120100,117500,116800,117600,117000,114300,110400,104600,96500,89100,85700,86000,88200,91700,92300,90800,89800,88800,86400,86800,88000,85500,80600,76800,73900,71800,70900,70700,70800,71400,72300,73300,74500,76200,78000,78400,78200,77500,76900,76900,76900,76700,76900,77100,77500,78300,79200,79500,79300,79200,79200,79000,78800,78900,79300,79500,79800,80200,80400,80300,80400,80300,79900,79500,79300,79200,79300,79800,80700,81600,82000,82100,82200,82300,82500,83000,83500,83800,84000,84000,84000,84000,84600,85600,86400,86500,86000,85400,85000,84800,84400,84700,85500,85700,85400,84900,84000,83300,83500,84300,84800,85000,85600,84700,82300,81400,82100,82100,82300,82800,83000,83100,83200,83200,82900,82900,83100,83300,83700,84200,84100,83600,83400,83300,83200,83100,82900,82600,82800,83100,83300,83000,82600,82500,82500,81600,80500,80000,79600,79500,79800,80000,79900,79900,80000,80200,80000,79500,78800,78200,77600,77700,78100,77600,76200,75300,75300,75600,76500,78300,79900,81100,82100,82400,81600,80000,78500,77600,77400,77900,78500,78600,78300,78700,79200,80100,81600,83200,84600,85500,85900,85900,85000,85100,86600,87600,87500
Boone,146800,145000,145700,143700,137900,132500,129800,128100,127200,127100,126700,126200,126000,126200,126400,127400,129200,130600,131200,131700,132400,132800,133000,133100,134000,134100,133000,131900,131200,130800,130500,129900,128800,128300,128000,127800,127700,127800,128000,128800,130100,131500,132800,134100,135100,135900,136800,137400,137700,137800,137700,137500,137600,137200,136100,135300,134900,134500,133900,134100,134800,135800,137100,138900,140300,141400,142100,142500,143000,143800,144400,145200,146300,147400,147800,147700,147600,147800,148000,148200,148400,148700,149000,149200,149000,149400,150200,150900,151600,152800,154400,156400,158500,160100,161300,162400,163000,162700,162700,163300,164500,165700,166700,167500,167900,168500,169800,171200,172100,173200,174600,175700,176600,178100,180000,181300,182200,182800,183400,183800,184000,184300,184600,184600,184300,183600,183000,183000,183300,183700,183600,183500,183600,183500,183400,183800,183900,183100,182900,183100,183000,182900,182900,182700,182900,181900,178900,176100,174600,173200,170800,168100,167400,168300,168700,167200,164800,162100,160200,158300,156700,156300,155900,155000,152000,147700,144200,142700,142300,143500,145200,146400,146800,145700,144000,142000,140000,138100,136400,134300,132400,131100,130200,128500,125600,123600,123100,122600,122400,122000,121500,121300,121100,120500,120500,120800,121200,121300,120700,121100,121900,122500,122800,123000,122700,121700,120900,120700,120600,120500,120800,121000,120800,120600,120800,121600,122700,123500,123600,124300,126400,128600,129700,130200,130400,130800,131300,131900,132600,133400,134300,135100,135500,135800,136500,137600,139100,140600,141900,143100,143700,144200,144500,144400,144500,145200,146100,146900
Coles,96500,96400,96400,96400,96400,96400,96400,96500,96500,96500,96500,96500,96500,96400,96400,96400,96400,96400,96400,96500,96500,96500,96500,96500,96500,96400,96400,96400,96400,96400,96400,96500,96500,96500,96500,96500,96500,96400,96400,96400,96400,96400,96400,96500,96500,96500,96500,96500,96500,96400,96400,96400,96400,96400,96500,96500,96500,96500,96500,96500,96500,96400,96400,96400,96400,96400,96400,96500,96500,96500,96500,96500,96400,96400,96400,96400,96400,96400,96400,96500,96500,96500,96500,96500,96500,96500,96400,96400,96400,96400,96400,96300,96400,96500,96500,96500,96500,96500,96500,96400,96400,96300,96300,96200,96300,96500,96700,96800,96800,96700,96500,96400,96300,96200,96100,95800,96000,96600,97100,97100,97100,96800,96500,96300,96200,96100,95800,95400,95700,96700,97300,97200,97200,96900,96500,96300,96200,96000,95700,95100,95500,96700,97500,97500,97500,97100,96600,96400,96100,95900,95600,95300,94400,92100,89200,86700,85800,86700,87800,87500,86800,86000,85900,87600,85100,79400,77000,78300,78200,77600,77400,77800,78100,78400,78300,78100,78800,80200,80900,80600,80300,79800,79200,78900,78800,78800,78700,78600,78800,79500,79900,79800,79500,79600,79800,79600,79200,79000,78900,78500,78800,79900,81000,81600,81900,81700,81400,81000,80600,80500,80300,79500,79400,80200,80600,80400,80500,80700,80600,80600,80900,81300,81600,81900,82800,84100,84700,84600,84600,84200,83400,83300,83000,82000,80900,80000,79500,79600,79500,79400,79600,79600,79200,79000,79500,80100,80400,80700
Ogle,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,141400,138500,137000,137100,136500,133600,131200,130300,129800,129900,130800,131500,132000,132000,131700,131000,128600,125200,122300,120100,118100,117200,117200,117300,117500,117300,116800,117200,117600,117000,116300,116100,116400,117300,118300,118900,119300,119700,119400,119000,118200,116800,115100,114400,114000,113800,114000,114000,113800,114100,114700,115300,115400,114500,114000,115400,117600,118700,119000,119500,119800,119400,118500,117900,116500,113700,110100,106500,102700,98700,94200,89300,84500,80000,75800,72200,69200,66100,63200,61000,59400,58200,57500,57300,57300,57200,57200,57300
Knox,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,91800,91900,93000,95400,93400,87700,84300,84200,82100,79700,77900,76500,74800,73000,71800,70900,69400,67800,66900,66300,65400,65000,64800,64800,64900,65100,65000,65000,65200,65500,66000,66500,66900,67000,67000,67300,67500,67500,68500,70200,70500,69800,69200,69100,69400,69900,70500,71000,71300,71400,71500,71400,71300,70800,70200,70100,70600,70900,70800,70300,70200,70500,71000,71400,71600,71600,71300,71300,71700,72300,72500,72400,73000,74100,74600,74400,74500,74500,74000,73400,72900,72200,71800,72100,72800,73400,73500,73200
Henry,,,,,,,,,,,,,,,,,,,,,,,65400,67700,70300,72700,74700,76400,77700,78800,79200,79000,78600,78000,76800,76100,75800,75500,75200,75200,75200,75300,76100,77200,78000,78500,78800,79700,81200,82900,83900,83900,83700,83400,83300,82900,82100,81000,80400,80400,80600,80500,80700,80900,80900,81200,81700,81400,81400,82700,83600,83200,82900,83000,82800,82700,83200,83100,82400,81800,81800,81600,81400,81800,82300,82600,82700,82900,83700,85000,86200,87300,88800,91000,92800,93100,93000,93400,94100,94600,94600,94700,94900,94900,94600,94400,94500,95300,96600,97700,98600,99400,99600,98500,97500,98100,98900,98800,98500,98900,98900,98900,99300,99700,99600,100000,101100,101800,101700,101100,101000,100800,101100,100800,100000,99800,100600,101500,101300,101000,100500,99700,98900,99600,99100,96900,95200,95200,94900,94400,94500,95100,95500,95600,96000,96700,97500,98400,99300,99800,100300,101100,101700,101500,101900,102700,103100,102300,102200,103200,103600,103200,103100,102700,102000,101200,101300,102100,101700,100100,99400,99800,100300,100300,100600,101100,101500,101100,100200,99400,99300,99600,99900,99800,99700,99400,99000,98600,98900,100000,101100,102400,103500,103600,103300,103600,104500,104700,104000,103700,104200,104200,103300,102800,103000,103100,102900,102500,102300,102500,102700,103000,103900,104700,104500,104200,104500,105400,106000,106000,105400,105400,106400,108200,109400,109500,108900,108700,109000,109800,110700,112000,113500,114500,115400,113800,110300,107400
Grundy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,168300,169300,171300,173100,174000,174400,175800,177800,179700,181600,183200,184600,185500,186100,187500,189200,190100,190100,191200,193500,195600,196900,197600,197400,196900,197400,198700,200100,201000,201400,200200,197900,195400,194300,194700,195700,196500,196200,195200,193800,192800,192700,192900,192400,191700,190600,188800,187000,186500,186500,185900,184400,184700,186800,188000,187400,187700,188100,187600,185600,183400,182300,182100,181900,178000,171900,169000,169400,168200,167000,166600,166500,165800,165000,164900,165400,166600,168000,168600,169200,170200,170600,170300,169500,167900,165800,164700,164700,165100,165300,165300,164400,163300,162700,162600,161900,160700,159700,158800,157600,156200,155000,154100,153400,153100,153000,152900,154500,158100,160900,162000,162700,163200,162700,162900,164300,164700,162900,162000,161500,161200,161600,162300,161900,161200,161000,161100,160900,160600,161000,160600,160700,161100,163000,164400,164800,165700,168300,169800,170300,171900,174400,177200,178500,178800,178300,177900,177500
Macoupin,48500,48700,49100,49200,48600,48300,48000,47600,47100,46800,46700,46700,46500,46200,46100,46000,45700,45800,46100,46400,46700,47200,48000,48900,49800,50200,50400,50700,51500,53100,54900,56000,56200,56200,56100,55500,54600,54100,54200,54000,53800,53300,53000,53500,54200,54200,54500,55400,56500,57100,57800,58300,58000,56600,55300,54800,55300,55600,55700,55500,55800,56400,56700,56500,56800,57800,58700,59000,59500,61000,61500,60700,60400,61200,62000,63900,65700,65800,65600,66100,65700,64500,64400,64900,64700,64200,64000,63600,63900,64400,64700,64700,64800,65000,65300,65600,66000,66200,66200,66200,66600,67600,68500,68500,68700,69500,69200,68100,67600,67900,68000,67600,67100,67200,67700,68200,68600,68700,70300,73500,75400,74500,73600,73300,72000,70500,69700,69400,69200,69200,68600,67700,67600,68400,68900,69200,69800,70400,70600,70700,71100,71500,71700,71400,71300,71100,71000,70800,71200,71400,71300,71000,71200,71700,72100,71900,71200,70600,70700,70900,71000,71500,71700,72100,70600,67700,66400,67400,68300,68900,69200,69400,69500,69500,69500,69700,70400,71000,70800,69400,68200,67800,67800,68100,68300,68500,68300,68100,68500,69100,69300,69500,70200,70900,71500,71300,70100,69100,68800,68400,68400,68800,69400,69600,69400,68700,68100,68000,68400,68900,69400,69900,70200,70500,70400,70100,70200,70600,71000,71400,71800,72200,72700,73100,73800,75200,76100,76200,76500,77000,76900,76400,76300,76400,76200,75700,75300,75200,75300,75700,76300,76800,77400,77800,77500,77300,77600,78000
